Source,Destination,WeightFunction,ProbabilityModel,Amount,Success,PathLength,TotalFee,TotalHopCost,Path,Retries,PathPe
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,Combined,bimodal,1634.730008,true,7,415.400000,274.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0387b383d3396cfce96504deef7a6caf7dd8507eea64d1d9080e5d150e5c35036c -> 020b5de59cb11bb47ec35f4b3aa602b698823329140eab1d758413bac10be2aa14 -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.892927
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,Eclair,bimodal,1634.730008,true,5,418.455111,178.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0338f68c6704cfea0d18a75678af6dfc0720e4e6875dab2fbb3bf5b165ec23972f -> 033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.918802
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,CLN,N/A (capacity bias),1634.730008,true,7,415.400000,252.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0387b383d3396cfce96504deef7a6caf7dd8507eea64d1d9080e5d150e5c35036c -> 020b5de59cb11bb47ec35f4b3aa602b698823329140eab1d758413bac10be2aa14 -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.892669
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,LDK,bimodal,1634.730008,true,7,415.400000,274.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0387b383d3396cfce96504deef7a6caf7dd8507eea64d1d9080e5d150e5c35036c -> 020b5de59cb11bb47ec35f4b3aa602b698823329140eab1d758413bac10be2aa14 -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.892927
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,LND,bimodal,1634.730008,true,6,416.202000,344.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 024e0221739b74b98008fab339cb72bc8880f5f274d7baea577676b73c2893407b -> 03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601 -> 02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.877426
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,Combined,uniform,1634.730008,true,7,415.400000,274.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0387b383d3396cfce96504deef7a6caf7dd8507eea64d1d9080e5d150e5c35036c -> 020b5de59cb11bb47ec35f4b3aa602b698823329140eab1d758413bac10be2aa14 -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.964522
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,Eclair,uniform,1634.730008,true,5,418.455111,178.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0338f68c6704cfea0d18a75678af6dfc0720e4e6875dab2fbb3bf5b165ec23972f -> 033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.976550
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,CLN,N/A (capacity bias),1634.730008,true,7,415.400000,252.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0387b383d3396cfce96504deef7a6caf7dd8507eea64d1d9080e5d150e5c35036c -> 020b5de59cb11bb47ec35f4b3aa602b698823329140eab1d758413bac10be2aa14 -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.964466
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,LDK,uniform,1634.730008,true,7,415.400000,274.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0387b383d3396cfce96504deef7a6caf7dd8507eea64d1d9080e5d150e5c35036c -> 020b5de59cb11bb47ec35f4b3aa602b698823329140eab1d758413bac10be2aa14 -> 038fe1bd966b5cb0545963490c631eaa1924e2c4c0ea4e7dcb5d4582a1e7f2f1a5 -> 02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.964522
032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628,022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,LND,uniform,1634.730008,true,6,416.202000,344.000000,032fccf1991500e36b764657d16cfe4b63cd1bcfa33733f321e6016396368ce628 -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 024e0221739b74b98008fab339cb72bc8880f5f274d7baea577676b73c2893407b -> 03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601 -> 02fb22354383c240f9a04b194d610186cdec1045d961cb7989f254cb7c96498ab5 -> 0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0 -> 022f35112acb0403b71aee5941f1d4c61b56d9cdaeaad9d2204ef9e3cd2422a31b,1,0.967389
