Source,Destination,Weight Function,Path Length,Total Fee,Total Hop Cost,Path
02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3,03c5dcc69d72fcf13d47ed89b3723d3d142851d437f54412c6b72e4d05a0bf54b3,LND,3,3.940000,120.000000,02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3 -> 03f1938c498677e52e0e12e86e9a41089c20d7ced24f2b177b84cc40025af1bf78 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 03c5dcc69d72fcf13d47ed89b3723d3d142851d437f54412c6b72e4d05a0bf54b3
02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3,03c5dcc69d72fcf13d47ed89b3723d3d142851d437f54412c6b72e4d05a0bf54b3,Eclair,3,3.940000,120.000000,02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3 -> 03f1938c498677e52e0e12e86e9a41089c20d7ced24f2b177b84cc40025af1bf78 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 03c5dcc69d72fcf13d47ed89b3723d3d142851d437f54412c6b72e4d05a0bf54b3
02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3,03c5dcc69d72fcf13d47ed89b3723d3d142851d437f54412c6b72e4d05a0bf54b3,Combined,3,3.940000,120.000000,02d3db7c13440cf6b4d636208acceb0d07c60e4e14aacd2aa87c0e91ee827422e3 -> 03f1938c498677e52e0e12e86e9a41089c20d7ced24f2b177b84cc40025af1bf78 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 03c5dcc69d72fcf13d47ed89b3723d3d142851d437f54412c6b72e4d05a0bf54b3
02cac066b51bddffcf1e350a3130a7e060ec3ca958be605f98890c2899367e7f90,038a8260dced21ab6e6348b8b980df5bf06778357cc83355fe1be1e32d46dfaf3a,LND,8,25.692477,282.000000,02cac066b51bddffcf1e350a3130a7e060ec3ca958be605f98890c2899367e7f90 -> 02398b614028892474fc95ed64c48791f994975042d0bd7e9592d0ec4128bbace4 -> 020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c -> 0326f1d06748f019ecd98484eb23ba7367b1361e0ee6e38234d73afcc976dfdb3d -> 0286f3de56f3cd0d47698e92a6cc05c7507cd25c5c0617e444cb569e27c2275d49 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 03701cb94ca283c1cf42e2f16fb5005cacc358ac99f1d127412104dc0ea2d3e2fe -> 0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266 -> 038a8260dced21ab6e6348b8b980df5bf06778357cc83355fe1be1e32d46dfaf3a
02cac066b51bddffcf1e350a3130a7e060ec3ca958be605f98890c2899367e7f90,038a8260dced21ab6e6348b8b980df5bf06778357cc83355fe1be1e32d46dfaf3a,Eclair,8,25.692477,282.000000,02cac066b51bddffcf1e350a3130a7e060ec3ca958be605f98890c2899367e7f90 -> 02398b614028892474fc95ed64c48791f994975042d0bd7e9592d0ec4128bbace4 -> 020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c -> 0326f1d06748f019ecd98484eb23ba7367b1361e0ee6e38234d73afcc976dfdb3d -> 0286f3de56f3cd0d47698e92a6cc05c7507cd25c5c0617e444cb569e27c2275d49 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 03701cb94ca283c1cf42e2f16fb5005cacc358ac99f1d127412104dc0ea2d3e2fe -> 0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266 -> 038a8260dced21ab6e6348b8b980df5bf06778357cc83355fe1be1e32d46dfaf3a
02cac066b51bddffcf1e350a3130a7e060ec3ca958be605f98890c2899367e7f90,038a8260dced21ab6e6348b8b980df5bf06778357cc83355fe1be1e32d46dfaf3a,Combined,8,25.692477,282.000000,02cac066b51bddffcf1e350a3130a7e060ec3ca958be605f98890c2899367e7f90 -> 02398b614028892474fc95ed64c48791f994975042d0bd7e9592d0ec4128bbace4 -> 020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c -> 0326f1d06748f019ecd98484eb23ba7367b1361e0ee6e38234d73afcc976dfdb3d -> 0286f3de56f3cd0d47698e92a6cc05c7507cd25c5c0617e444cb569e27c2275d49 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 03701cb94ca283c1cf42e2f16fb5005cacc358ac99f1d127412104dc0ea2d3e2fe -> 0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266 -> 038a8260dced21ab6e6348b8b980df5bf06778357cc83355fe1be1e32d46dfaf3a
039bfb86d250078916dfc425c9d286773dfe3dbb8e2c9fcf08de8b6e76c0003b4a,03f9aa8c25406274ebbe494800718e80fb2a782218e6670cc0eea539d974a01431,LND,6,65.898737,240.000000,039bfb86d250078916dfc425c9d286773dfe3dbb8e2c9fcf08de8b6e76c0003b4a -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0278fd09993d66638de9bd14caed5c3ac5fae9cf7e1f00ba4e925ff94acbd19411 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02c1d0d19807a6f516138aac99ba040021f6670fea523e4cca396d2bc68c387923 -> 02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c -> 03f9aa8c25406274ebbe494800718e80fb2a782218e6670cc0eea539d974a01431
039bfb86d250078916dfc425c9d286773dfe3dbb8e2c9fcf08de8b6e76c0003b4a,03f9aa8c25406274ebbe494800718e80fb2a782218e6670cc0eea539d974a01431,Eclair,6,66.078737,234.000000,039bfb86d250078916dfc425c9d286773dfe3dbb8e2c9fcf08de8b6e76c0003b4a -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0379972fb4965f1c511269f30ffd1fc91731e1c3e8977ee5bba44b1ee9338fc69e -> 02a60e11bf0016cebbfc725386e12c4122fdc12aca8711e32bf6d568ed790d3e5b -> 0252509109f8dd6bb1c253e9629a6d33c98c2d057db48ba7182ba595d356fe833e -> 02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c -> 03f9aa8c25406274ebbe494800718e80fb2a782218e6670cc0eea539d974a01431
039bfb86d250078916dfc425c9d286773dfe3dbb8e2c9fcf08de8b6e76c0003b4a,03f9aa8c25406274ebbe494800718e80fb2a782218e6670cc0eea539d974a01431,Combined,6,66.078737,234.000000,039bfb86d250078916dfc425c9d286773dfe3dbb8e2c9fcf08de8b6e76c0003b4a -> 03c8dfbf829eaeb0b6dab099d87fdf7f8faceb0c1b935cd243e8c1fb5af71361cf -> 0379972fb4965f1c511269f30ffd1fc91731e1c3e8977ee5bba44b1ee9338fc69e -> 02a60e11bf0016cebbfc725386e12c4122fdc12aca8711e32bf6d568ed790d3e5b -> 0252509109f8dd6bb1c253e9629a6d33c98c2d057db48ba7182ba595d356fe833e -> 02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c -> 03f9aa8c25406274ebbe494800718e80fb2a782218e6670cc0eea539d974a01431
026da76b66644c36c15f38dc7cba6323d35a0bb5fdfb9ad2af17bf2d9d60a6cef5,02b77b978f7f287a91d341351fbfe580f6c48577dc2d74c0a202299be7d794dbb9,LND,5,5.195000,200.000000,026da76b66644c36c15f38dc7cba6323d35a0bb5fdfb9ad2af17bf2d9d60a6cef5 -> 026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93 -> 03640b3403b120a5fb94e175d3942256522268f1059952f1a1969614905e2dc169 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 02e6a782a737cad13b015e6604789c8f951e1e6d9a4827810d3e900f008c8aaba1 -> 02b77b978f7f287a91d341351fbfe580f6c48577dc2d74c0a202299be7d794dbb9
